date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:23:24	26796/26796	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202024%2006:41:33%20GMT	https://themes.pixelstrap.net/pwa/chatzy/home.html	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/home.html	(from )
05:23:25	796/796	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Mar%202025%2005:23:06%20GMT	https://themes.pixelstrap.net/robots.txt		(from )
05:23:25	1111/1111	---M--	200	added ('OK')	application/json	date:Wed,%2027%20Dec%202023%2006:24:44%20GMT	https://themes.pixelstrap.net/pwa/chatzy/manifest.json	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/manifest.json	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:25	1809/1809	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Dec%202023%2009:38:48%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/logo/favicon.png	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/logo/favicon.png	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:26	419/419	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Nov%202023%2006:37:35%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/css/vendors/iconsax.css	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/css/vendors/iconsax.css	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:26	18411/18411	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20May%202023%2013:11:33%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/css/vendors/swiper-bundle.min.css	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/css/vendors/swiper-bundle.min.css	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:27	298777/298777	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Dec%202023%2012:52:13%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/css/vendors/bootstrap.css	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/css/vendors/bootstrap.css	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:27	187994/187994	---M-Z	200	added ('OK')	text/css	date:Wed,%2010%20Jan%202024%2009:29:01%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/css/style.css	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/css/style.css	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:27	2195/2195	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Dec%202023%2009:38:48%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/logo/mini-logo.png	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/logo/mini-logo.png	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:27	26741/26741	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202024%2006:25:07%20GMT	https://themes.pixelstrap.net/pwa/chatzy/new-group-contact.html	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/new-group-contact.html	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:28	26463/26463	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Jan%202024%2006:24:21%20GMT	https://themes.pixelstrap.net/pwa/chatzy/new-broadcast-contact.html	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/new-broadcast-contact.html	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
05:23:28	2441/2441	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2013%20Dec%202023%2012:52:11%20GMT	https://themes.pixelstrap.net/pwa/chatzy/assets/images/svg/megaphone.svg	C:/My%20Web%20Sites/mobile%20chat/themes.pixelstrap.net/pwa/chatzy/assets/images/svg/megaphone.svg	(from https://themes.pixelstrap.net/pwa/chatzy/home.html)
